StandardAnalyte,StationName,SampleDate,SampleType,SourceType,AnalysisGroup,SampleMedia,StandardResult,StandardUnit,FinalQualifier,StandardDetLimit
"Manganese, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,507,ug/L,1,2
"Molybdenum, total",FE-A40,6/9/15,Primary,S,Metals,SW,5,ug/L,U,1
"Molybdenum, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,1,ug/L,U,5
"Nickel, total",FE-A40,6/9/15,Primary,S,Metals,SW,5,ug/L,U,0.5
"Nickel, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,0.666,ug/L,J,2.5
"Potassium, total",FE-A40,6/9/15,Primary,S,Metals,SW,412,ug/L,J,250
"Potassium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,358,ug/L,J,250
"Selenium, total",FE-A40,6/9/15,Primary,S,Metals,SW,10,ug/L,U,1
"Selenium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,2,ug/L,U,5
"Silver, total",FE-A40,6/9/15,Primary,S,Metals,SW,5,ug/L,U,2.5
"Silver, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,1,ug/L,U,2.5
"Sodium, total",FE-A40,6/9/15,Primary,S,Metals,SW,692,ug/L,J,250
"Sodium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,623,ug/L,J,250
"Thallium, total",FE-A40,6/9/15,Primary,S,Metals,SW,5,ug/L,U,2.5
"Thallium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,1,ug/L,U,2.5
"Vanadium, total",FE-A40,6/9/15,Primary,S,Metals,SW,15,ug/L,U,10
"Vanadium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,3,ug/L,U,2
"Zinc, total",FE-A40,6/9/15,Primary,S,Metals,SW,560,ug/L,1,10
"Zinc, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,527,ug/L,1,10
Specific Conductance,FE-A40,6/9/15,Field Measurement,S,Physical,SW,126,uS/cm,1,-9999
"Oxygen, Dissolved",FE-A40,6/9/15,Field Measurement,S,Physical,SW,8370,ug/L,1,-9999
pH,FE-A40,6/9/15,Field Measurement,S,Physical,SW,7.27,SU,1,-9999
Temperature,FE-A40,6/9/15,Field Measurement,S,Physical,SW,7.11,C,1,-9999
"Aluminum, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,70,ug/L,2,30
"Aluminum, total",FE-A40,6/9/15,Primary,S,Metals,SW,380,ug/L,2,30
"Antimony, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,2,ug/L,U,2
"Antimony, total",FE-A40,6/9/15,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,1,ug/L,U,1
"Arsenic, total",FE-A40,6/9/15,Primary,S,Metals,SW,0.6,ug/L,U,0.2
"Barium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,9,ug/L,2,3
"Barium, total",FE-A40,6/9/15,Primary,S,Metals,SW,10,ug/L,J+,0.5
"Beryllium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-A40,6/9/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,1.6,ug/L,2,0.5
"Cadmium, total",FE-A40,6/9/15,Primary,S,Metals,SW,1.7,ug/L,J+,0.1
"Calcium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,18300,ug/L,2,100
"Calcium, total",FE-A40,6/9/15,Primary,S,Metals,SW,18600,ug/L,2,100
DOC,FE-A40,6/9/15,Primary,S,General Chemistry,SW,1000,ug/L,U,1000
Cation-Anion Balance,FE-A40,6/9/15,Primary,S,General Chemistry,SW,4.3,%,2,-9999
"Chromium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,3,ug/L,U,3
"Chromium, total",FE-A40,6/9/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Cobalt, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,0.3,ug/L,U,0.3
"Cobalt, total",FE-A40,6/9/15,Primary,S,Metals,SW,0.35,ug/L,2,0.05
"Copper, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,8,ug/L,2,3
"Copper, total",FE-A40,6/9/15,Primary,S,Metals,SW,18.6,ug/L,J+,0.5
"Hardness as CaCO3, T",FE-A40,6/9/15,Primary,S,General Chemistry,SW,52000,ug/L,2,800
"Iron, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,20,ug/L,U,20
"Iron, total",FE-A40,6/9/15,Primary,S,Metals,SW,210,ug/L,J+,20
"Lead, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,1.1,ug/L,2,0.5
"Lead, total",FE-A40,6/9/15,Primary,S,Metals,SW,9.9,ug/L,J+,0.1
"Lithium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-A40,6/9/15,Primary,S,Metals,SW,8,ug/L,U,8
"Magnesium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,1600,ug/L,J+,200
"Magnesium, total",FE-A40,6/9/15,Primary,S,Metals,SW,1600,ug/L,J+,200
"Manganese, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,491,ug/L,2,5
"Manganese, total",FE-A40,6/9/15,Primary,S,Metals,SW,549,ug/L,2,5
"Molybdenum, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,3,ug/L,U,3
"Molybdenum, total",FE-A40,6/9/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Nickel, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,3,ug/L,U,3
"Nickel, total",FE-A40,6/9/15,Primary,S,Metals,SW,0.8,ug/L,U,0.6
"Potassium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,500,ug/L,2,200
"Potassium, total",FE-A40,6/9/15,Primary,S,Metals,SW,500,ug/L,2,200
"TDS, measured",FE-A40,6/9/15,Primary,S,Physical,SW,80000,ug/L,J+,10000
TSS,FE-A40,6/9/15,Primary,S,Physical,SW,5000,ug/L,2,5000
"Selenium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Selenium, total",FE-A40,6/9/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Silica, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,4400,ug/L,2,200
"Silica, total",FE-A40,6/9/15,Primary,S,Metals,SW,4800,ug/L,J-,200
"Silver, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,0.3,ug/L,U,0.3
"Silver, total",FE-A40,6/9/15,Primary,S,Metals,SW,0.06,ug/L,2,0.05
"Sodium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,700,ug/L,2,200
"Sodium, total",FE-A40,6/9/15,Primary,S,Metals,SW,700,ug/L,2,200
"Strontium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,131,ug/L,2,5
"Strontium, total",FE-A40,6/9/15,Primary,S,Metals,SW,127,ug/L,2,5
Sum of Anions,FE-A40,6/9/15,Primary,S,General Chemistry,SW,1.1,meq/L,2,-9999
Sum of Cations,FE-A40,6/9/15,Primary,S,General Chemistry,SW,1.2,meq/L,2,-9999
"Thallium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Thallium, total",FE-A40,6/9/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
Total Alkalinity,FE-A40,6/9/15,Primary,S,General Chemistry,SW,11300,ug/L,U,2000
"Vanadium, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,1,ug/L,U,1
"Vanadium, total",FE-A40,6/9/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Zinc, dissolved",FE-A40,6/9/15,Primary,S,Metals,SW,470,ug/L,2,10
"Zinc, total",FE-A40,6/9/15,Primary,S,Metals,SW,510,ug/L,2,10
Specific Conductance,FE-A40,6/9/15,Field Measurement,S,Physical,SW,109,uS/cm,1,-9999
ORP,FE-A40,6/9/15,Field Measurement,S,Physical,SW,63.6,mV,1,-9999
"Oxygen, Dissolved",FE-A40,6/9/15,Field Measurement,S,Physical,SW,9500,ug/L,1,-9999
pH,FE-A40,6/9/15,Field Measurement,S,Physical,SW,7.4,SU,1,-9999
Temperature,FE-A40,6/9/15,Field Measurement,S,Physical,SW,7.21,C,1,-9999
Turbidity,FE-A40,6/9/15,Field Measurement,S,Physical,SW,6.63,NTU,1,-9999
"Aluminum, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,50,ug/L,2,30
"Aluminum, total",FE-A40,8/4/15,Primary,S,Metals,SW,350,ug/L,J+,30
"Antimony, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Antimony, total",FE-A40,8/4/15,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-A40,8/4/15,Primary,S,Metals,SW,0.4,ug/L,2,0.2
"Barium, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,12.1,ug/L,2,0.5
"Barium, total",FE-A40,8/4/15,Primary,S,Metals,SW,11.6,ug/L,2,0.5
"Beryllium, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-A40,8/4/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,1.2,ug/L,2,0.1
"Cadmium, total",FE-A40,8/4/15,Primary,S,Metals,SW,1.3,ug/L,2,0.1
"Calcium, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,32500,ug/L,2,100
"Calcium, total",FE-A40,8/4/15,Primary,S,Metals,SW,33200,ug/L,2,100
DOC,FE-A40,8/4/15,Primary,S,General Chemistry,SW,1000,ug/L,U,1000
Cation-Anion Balance,FE-A40,8/4/15,Primary,S,General Chemistry,SW,0,%,2,-9999
"Chromium, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,10,ug/L,U,10
"Chromium, total",FE-A40,8/4/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cobalt, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,0.44,ug/L,J+,0.05
"Cobalt, total",FE-A40,8/4/15,Primary,S,Metals,SW,0.4,ug/L,2,0.05
"Copper, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,3.5,ug/L,2,0.5
"Copper, total",FE-A40,8/4/15,Primary,S,Metals,SW,9.4,ug/L,2,0.5
"Hardness as CaCO3, D",FE-A40,8/4/15,Primary,S,General Chemistry,SW,92000,ug/L,2,800
"Iron, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,20,ug/L,U,20
"Iron, total",FE-A40,8/4/15,Primary,S,Metals,SW,80,ug/L,J+,20
"Lead, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,0.2,ug/L,U,0.1
"Lead, total",FE-A40,8/4/15,Primary,S,Metals,SW,2.5,ug/L,J+,0.1
"Lithium, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-A40,8/4/15,Primary,S,Metals,SW,8,ug/L,U,8
"Magnesium, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,2600,ug/L,2,200
"Magnesium, total",FE-A40,8/4/15,Primary,S,Metals,SW,2600,ug/L,2,200
"Manganese, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,840,ug/L,2,5
"Manganese, total",FE-A40,8/4/15,Primary,S,Metals,SW,851,ug/L,2,5
"Molybdenum, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Molybdenum, total",FE-A40,8/4/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Nickel, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,1.2,ug/L,2,0.6
"Nickel, total",FE-A40,8/4/15,Primary,S,Metals,SW,1.1,ug/L,2,0.6
"Potassium, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,500,ug/L,2,200
"Potassium, total",FE-A40,8/4/15,Primary,S,Metals,SW,500,ug/L,2,200
"TDS, measured",FE-A40,8/4/15,Primary,S,Physical,SW,134000,ug/L,2,10000
TSS,FE-A40,8/4/15,Primary,S,Physical,SW,5000,ug/L,U,5000
"Selenium, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Selenium, total",FE-A40,8/4/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Silica, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,4700,ug/L,2,200
"Silica, total",FE-A40,8/4/15,Primary,S,Metals,SW,5200,ug/L,J-,200
"Silver, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Silver, total",FE-A40,8/4/15,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Sodium, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,1000,ug/L,2,200
"Sodium, total",FE-A40,8/4/15,Primary,S,Metals,SW,1000,ug/L,2,200
"Strontium, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,238,ug/L,2,5
"Strontium, total",FE-A40,8/4/15,Primary,S,Metals,SW,243,ug/L,2,5
Sum of Anions,FE-A40,8/4/15,Primary,S,General Chemistry,SW,2,meq/L,2,-9999
Sum of Cations,FE-A40,8/4/15,Primary,S,General Chemistry,SW,2,meq/L,2,-9999
"Thallium, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Thallium, total",FE-A40,8/4/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
Total Alkalinity,FE-A40,8/4/15,Primary,S,General Chemistry,SW,16300,ug/L,2,2000
"Vanadium, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Vanadium, total",FE-A40,8/4/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Zinc, dissolved",FE-A40,8/4/15,Primary,S,Metals,SW,350,ug/L,2,10
"Zinc, total",FE-A40,8/4/15,Primary,S,Metals,SW,380,ug/L,2,10
ORP,FE-A40,8/4/15,Field Measurement,S,Physical,SW,185.4,mV,1,-9999
ORP,FE-A40,8/4/15,Field Measurement,S,Physical,SW,187.1,mV,1,-9999
"Oxygen, Dissolved",FE-A40,8/4/15,Field Measurement,S,Physical,SW,7800,ug/L,1,-9999
"Oxygen, Dissolved",FE-A40,8/4/15,Field Measurement,S,Physical,SW,9300,ug/L,1,-9999
"Oxygen, Dissolved",FE-A40,8/4/15,Field Measurement,S,Physical,SW,9320,ug/L,1,-9999
pH,FE-A40,8/4/15,Field Measurement,S,Physical,SW,7.02,SU,1,-9999
pH,FE-A40,8/4/15,Field Measurement,S,Physical,SW,7.96,SU,1,-9999
pH,FE-A40,8/4/15,Field Measurement,S,Physical,SW,8.25,SU,1,-9999
Specific Conductance,FE-A40,8/4/15,Field Measurement,S,Physical,SW,213.2,uS/cm,1,-9999
Specific Conductance,FE-A40,8/4/15,Field Measurement,S,Physical,SW,310,uS/cm,1,-9999
Specific Conductance,FE-A40,8/4/15,Field Measurement,S,Physical,SW,313,uS/cm,1,-9999
Temperature,FE-A40,8/4/15,Field Measurement,S,Physical,SW,11.05,C,1,-9999
Temperature,FE-A40,8/4/15,Field Measurement,S,Physical,SW,11.25,C,1,-9999
Temperature,FE-A40,8/4/15,Field Measurement,S,Physical,SW,11.43,C,1,-9999
Turbidity,FE-A40,8/4/15,Field Measurement,S,Physical,SW,4.6,NTU,1,-9999
"Aluminum, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,30,ug/L,U,30
"Aluminum, total",FE-A40,9/30/15,Primary,S,Metals,SW,140,ug/L,2,30
"Antimony, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Antimony, total",FE-A40,9/30/15,Primary,S,Metals,SW,0.4,ug/L,U,0.4
"Arsenic, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Arsenic, total",FE-A40,9/30/15,Primary,S,Metals,SW,0.2,ug/L,2,0.2
"Barium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,15.8,ug/L,2,0.5
"Barium, total",FE-A40,9/30/15,Primary,S,Metals,SW,15.3,ug/L,2,0.5
"Beryllium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,10,ug/L,U,10
"Beryllium, total",FE-A40,9/30/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cadmium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,1.6,ug/L,2,0.1
"Cadmium, total",FE-A40,9/30/15,Primary,S,Metals,SW,1.6,ug/L,2,0.1
"Calcium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,55200,ug/L,2,100
"Calcium, total",FE-A40,9/30/15,Primary,S,Metals,SW,58800,ug/L,2,100
DOC,FE-A40,9/30/15,Primary,S,General Chemistry,SW,1000,ug/L,U,1000
Cation-Anion Balance,FE-A40,9/30/15,Primary,S,General Chemistry,SW,4.8,%,2,-9999
"Chromium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,10,ug/L,U,10
"Chromium, total",FE-A40,9/30/15,Primary,S,Metals,SW,10,ug/L,U,10
"Cobalt, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.52,ug/L,2,0.05
"Cobalt, total",FE-A40,9/30/15,Primary,S,Metals,SW,0.5,ug/L,2,0.05
"Copper, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,4.9,ug/L,J,0.5
"Copper, total",FE-A40,9/30/15,Primary,S,Metals,SW,8.6,ug/L,J+,0.5
"Hardness as CaCO3, D",FE-A40,9/30/15,Primary,S,General Chemistry,SW,154000,ug/L,2,800
"Iron, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,20,ug/L,U,20
"Iron, total",FE-A40,9/30/15,Primary,S,Metals,SW,30,ug/L,2,20
"Lead, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.1,ug/L,2,0.1
"Lead, total",FE-A40,9/30/15,Primary,S,Metals,SW,0.6,ug/L,2,0.1
"Lithium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,8,ug/L,U,8
"Lithium, total",FE-A40,9/30/15,Primary,S,Metals,SW,9,ug/L,2,8
"Magnesium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,4000,ug/L,2,200
"Magnesium, total",FE-A40,9/30/15,Primary,S,Metals,SW,3900,ug/L,2,200
"Manganese, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,975,ug/L,2,5
"Manganese, total",FE-A40,9/30/15,Primary,S,Metals,SW,996,ug/L,2,5
"Molybdenum, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.7,ug/L,2,0.5
"Molybdenum, total",FE-A40,9/30/15,Primary,S,Metals,SW,0.6,ug/L,2,0.5
"Nickel, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,1.1,ug/L,2,0.6
"Nickel, total",FE-A40,9/30/15,Primary,S,Metals,SW,1.3,ug/L,U,0.6
"Potassium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,800,ug/L,2,200
"Potassium, total",FE-A40,9/30/15,Primary,S,Metals,SW,700,ug/L,2,200
"TDS, measured",FE-A40,9/30/15,Primary,S,Physical,SW,220000,ug/L,2,10000
TSS,FE-A40,9/30/15,Primary,S,Physical,SW,5000,ug/L,U,5000
"Selenium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Selenium, total",FE-A40,9/30/15,Primary,S,Metals,SW,0.1,ug/L,2,0.1
"Silica, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,6200,ug/L,2,200
"Silica, total",FE-A40,9/30/15,Primary,S,Metals,SW,6500,ug/L,J-,200
"Silver, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Silver, total",FE-A40,9/30/15,Primary,S,Metals,SW,0.05,ug/L,U,0.05
"Sodium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,1400,ug/L,J+,200
"Sodium, total",FE-A40,9/30/15,Primary,S,Metals,SW,1500,ug/L,J+,200
"Strontium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,440,ug/L,2,5
"Strontium, total",FE-A40,9/30/15,Primary,S,Metals,SW,449,ug/L,2,5
Sum of Anions,FE-A40,9/30/15,Primary,S,General Chemistry,SW,3,meq/L,2,-9999
Sum of Cations,FE-A40,9/30/15,Primary,S,General Chemistry,SW,3.3,meq/L,2,-9999
"Thallium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
"Thallium, total",FE-A40,9/30/15,Primary,S,Metals,SW,0.1,ug/L,U,0.1
Total Alkalinity,FE-A40,9/30/15,Primary,S,General Chemistry,SW,22100,ug/L,2,2000
"Vanadium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Vanadium, total",FE-A40,9/30/15,Primary,S,Metals,SW,0.2,ug/L,U,0.2
"Zinc, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,440,ug/L,2,10
"Zinc, total",FE-A40,9/30/15,Primary,S,Metals,SW,460,ug/L,2,10
ORP,FE-A40,9/30/15,Field Measurement,S,Physical,SW,177.8,mV,-9999,-9999
ORP,FE-A40,9/30/15,Field Measurement,S,Physical,SW,180,mV,-9999,-9999
"Oxygen, Dissolved",FE-A40,9/30/15,Field Measurement,S,Physical,SW,8300,ug/L,-9999,-9999
"Oxygen, Dissolved",FE-A40,9/30/15,Field Measurement,S,Physical,SW,8460,ug/L,-9999,-9999
"Oxygen, Dissolved",FE-A40,9/30/15,Field Measurement,S,Physical,SW,9000,ug/L,-9999,-9999
pH,FE-A40,9/30/15,Field Measurement,S,Physical,SW,6.82,SU,-9999,-9999
pH,FE-A40,9/30/15,Field Measurement,S,Physical,SW,7.46,SU,-9999,-9999
pH,FE-A40,9/30/15,Field Measurement,S,Physical,SW,7.65,SU,-9999,-9999
Specific Conductance,FE-A40,9/30/15,Field Measurement,S,Physical,SW,132,uS/cm,-9999,-9999
Specific Conductance,FE-A40,9/30/15,Field Measurement,S,Physical,SW,207,uS/cm,-9999,-9999
Specific Conductance,FE-A40,9/30/15,Field Measurement,S,Physical,SW,251,uS/cm,-9999,-9999
Temperature,FE-A40,9/30/15,Field Measurement,S,Physical,SW,10.29,C,-9999,-9999
Temperature,FE-A40,9/30/15,Field Measurement,S,Physical,SW,10.38,C,-9999,-9999
Temperature,FE-A40,9/30/15,Field Measurement,S,Physical,SW,10.82,C,-9999,-9999
Turbidity,FE-A40,9/30/15,Field Measurement,S,Physical,SW,0.32,NTU,-9999,-9999
Turbidity,FE-A40,9/30/15,Field Measurement,S,Physical,SW,0.62,NTU,-9999,-9999
"Aluminum, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,20,ug/L,UJ,20
"Aluminum, total",FE-A40,9/30/15,Primary,S,Metals,SW,117,ug/L,2,20
"Antimony, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Antimony, total",FE-A40,9/30/15,Primary,S,Metals,SW,2.5,ug/L,U,2.5
"Arsenic, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Arsenic, total",FE-A40,9/30/15,Primary,S,Metals,SW,2.5,ug/L,U,2.5
"Barium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,14.9,ug/L,2,5
"Barium, total",FE-A40,9/30/15,Primary,S,Metals,SW,25,ug/L,U,25
"Beryllium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,2,ug/L,U,2
"Beryllium, total",FE-A40,9/30/15,Primary,S,Metals,SW,2,ug/L,U,2
"Cadmium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,1.59,ug/L,2,0.1
"Cadmium, total",FE-A40,9/30/15,Primary,S,Metals,SW,1.63,ug/L,J,0.5
"Calcium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,53500,ug/L,2,100
"Calcium, total",FE-A40,9/30/15,Primary,S,Metals,SW,54400,ug/L,2,100
"Chromium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,1,ug/L,U,1
"Chromium, total",FE-A40,9/30/15,Primary,S,Metals,SW,5,ug/L,U,5
"Cobalt, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.481,ug/L,2,0.1
"Cobalt, total",FE-A40,9/30/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Copper, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,5.29,ug/L,2,0.5
"Copper, total",FE-A40,9/30/15,Primary,S,Metals,SW,9.37,ug/L,J,2.5
"Hardness as CaCO3, D",FE-A40,9/30/15,Primary,S,General Chemistry,SW,149000,ug/L,2,2000
"Iron, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,100,ug/L,U,100
"Iron, total",FE-A40,9/30/15,Primary,S,Metals,SW,100,ug/L,U,100
"Lead, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.149,ug/L,J,0.1
"Lead, total",FE-A40,9/30/15,Primary,S,Metals,SW,0.675,ug/L,J,0.5
"Magnesium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,3880,ug/L,2,100
"Magnesium, total",FE-A40,9/30/15,Primary,S,Metals,SW,4020,ug/L,2,100
"Manganese, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,1060,ug/L,2,2
"Manganese, total",FE-A40,9/30/15,Primary,S,Metals,SW,1080,ug/L,2,2
"Molybdenum, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,1,ug/L,U,1
"Molybdenum, total",FE-A40,9/30/15,Primary,S,Metals,SW,5,ug/L,U,5
"Nickel, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Nickel, total",FE-A40,9/30/15,Primary,S,Metals,SW,2.5,ug/L,U,2.5
"Potassium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,566,ug/L,J,250
"Potassium, total",FE-A40,9/30/15,Primary,S,Metals,SW,785,ug/L,U,250
"Selenium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,1,ug/L,U,1
"Selenium, total",FE-A40,9/30/15,Primary,S,Metals,SW,5,ug/L,U,5
"Silver, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Silver, total",FE-A40,9/30/15,Primary,S,Metals,SW,2.5,ug/L,U,2.5
"Sodium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,1480,ug/L,2,250
"Sodium, total",FE-A40,9/30/15,Primary,S,Metals,SW,1600,ug/L,J+,250
"Thallium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,0.5,ug/L,U,0.5
"Thallium, total",FE-A40,9/30/15,Primary,S,Metals,SW,2.5,ug/L,U,2.5
Total Alkalinity,FE-A40,9/30/15,Primary,S,General Chemistry,SW,22600,ug/L,2,5000
"Vanadium, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,2,ug/L,U,2
"Vanadium, total",FE-A40,9/30/15,Primary,S,Metals,SW,10,ug/L,U,10
"Zinc, dissolved",FE-A40,9/30/15,Primary,S,Metals,SW,506,ug/L,2,10
"Zinc, total",FE-A40,9/30/15,Primary,S,Metals,SW,515,ug/L,2,10
Specific Conductance,FE-A40,9/30/15,Field Measurement,S,Physical,SW,326,uS/cm,1,-9999
"Oxygen, Dissolved",FE-A40,9/30/15,Field Measurement,S,Physical,SW,8300,ug/L,1,-9999
